label,x,y
ln_af_te,0,0
ln_af_p1,0.02,-0.00846
ln_af_p2,0.04,-0.00755
ln_af_p3,0.06,-0.00729
ln_af_p4,0.08,-0.00773
ln_af_p5,0.1,-0.00867
ln_af_p6,0.12,-0.00992
ln_af_p7,0.14,-0.01145
ln_af_p8,0.16,-0.01328
ln_af_p9,0.18,-0.0154
ln_af_p10,0.2,-0.01779
ln_af_p11,0.22,-0.02041
ln_af_p12,0.24,-0.02325
ln_af_p13,0.26,-0.02631
ln_af_p14,0.28,-0.02956
ln_af_p15,0.3,-0.03295
ln_af_p16,0.32,-0.03642
ln_af_p17,0.34,-0.0399
ln_af_p18,0.36,-0.04331
ln_af_p19,0.38,-0.0466
ln_af_p20,0.4,-0.04975
ln_af_p21,0.42,-0.05274
ln_af_p22,0.44,-0.05555
ln_af_p23,0.46,-0.05815
ln_af_p24,0.48,-0.06052
ln_af_p25,0.5,-0.06263
ln_af_p26,0.52,-0.06445
ln_af_p27,0.54,-0.06599
ln_af_p28,0.56,-0.06726
ln_af_p29,0.58,-0.06827
ln_af_p30,0.6,-0.06903
ln_af_p31,0.62,-0.06954
ln_af_p32,0.64,-0.06981
ln_af_p33,0.66,-0.06981
ln_af_p34,0.68,-0.06954
ln_af_p35,0.7,-0.06898
ln_af_p36,0.72,-0.06809
ln_af_p37,0.74,-0.0668
ln_af_p38,0.76,-0.06501
ln_af_p39,0.78,-0.06265
ln_af_p40,0.8,-0.05969
ln_af_p41,0.82,-0.05611
ln_af_p42,0.84,-0.05201
ln_af_p43,0.86,-0.04749
ln_af_p44,0.88,-0.04259
ln_af_p45,0.9,-0.03729
ln_af_p46,0.92,-0.03158
ln_af_p47,0.94,-0.02544
ln_af_p48,0.96,-0.01876
ln_af_p49,0.98,-0.01139
ln_af_p50,0.985,-0.00937
ln_af_p51,0.99,-0.00726
ln_af_p52,0.9925,-0.00612
ln_af_p53,0.995,-0.00477
ln_af_p54,0.9975,-0.00342
ln_af_le,1,0
ln_af_p55,0.9975,0.00802
ln_af_p56,0.995,0.01182
ln_af_p57,0.9925,0.01492
ln_af_p58,0.99,0.01757
ln_af_p59,0.985,0.02216
ln_af_p60,0.98,0.02609
ln_af_p61,0.96,0.03832
ln_af_p62,0.94,0.04755
ln_af_p63,0.92,0.0551
ln_af_p64,0.9,0.06155
ln_af_p65,0.88,0.06716
ln_af_p66,0.86,0.07208
ln_af_p67,0.84,0.07644
ln_af_p68,0.82,0.0803
ln_af_p69,0.8,0.08369
ln_af_p70,0.78,0.08666
ln_af_p71,0.76,0.08923
ln_af_p72,0.74,0.09143
ln_af_p73,0.72,0.0933
ln_af_p74,0.7,0.09487
ln_af_p75,0.68,0.09615
ln_af_p76,0.66,0.09717
ln_af_p77,0.64,0.09792
ln_af_p78,0.62,0.09842
ln_af_p79,0.6,0.09867
ln_af_p80,0.58,0.09866
ln_af_p81,0.56,0.0984
ln_af_p82,0.54,0.0979
ln_af_p83,0.52,0.09714
ln_af_p84,0.5,0.0961
ln_af_p85,0.48,0.09475
ln_af_p86,0.46,0.0931
ln_af_p87,0.44,0.09114
ln_af_p88,0.42,0.08887
ln_af_p89,0.4,0.0863
ln_af_p90,0.38,0.08343
ln_af_p91,0.36,0.08028
ln_af_p92,0.34,0.07682
ln_af_p93,0.32,0.07309
ln_af_p94,0.3,0.06915
ln_af_p95,0.28,0.06507
ln_af_p96,0.26,0.06094
ln_af_p97,0.24,0.05681
ln_af_p98,0.22,0.05272
ln_af_p99,0.2,0.04867
ln_af_p100,0.18,0.04465
ln_af_p101,0.16,0.04069
ln_af_p102,0.14,0.0368
ln_af_p103,0.12,0.03291
ln_af_p104,0.1,0.02889
ln_af_p105,0.08,0.02468
ln_af_p106,0.06,0.02049
ln_af_p107,0.04,0.0166
ln_af_p108,0.02,0.01306
ln_af_te,0,0
